Duration,Current_Status,Overall_Satisfaction,Work_Life_Balance,Skill_Development,Salary_and_Benefits,Job_Security,Company_Culture,Career_Growth,Work_Satisfaction,Work_Life_Balance_Likes,Career_Growth_Likes,Work_Culture_Likes,Job_Security_Likes,Innov_and_Tech_Likes,Work_Life_Balance_Dislikes,Career_Growth_Dislikes,Salary_Growth_Dislikes,Work_Culture_Dislikes,Job_Security_Dislikes,Travel_City,Travel_Country,Travel_Abroad,Timing_Nature,Working_Mon_Fri,Working_Mon_Sat_Alt,Working_Mon_Sat,Rotational_Shift,Free_transport,Child_care,Gymnasium,Cafeteria,Work_from_home,Free_food,Team_outings,Education_assistance,Soft_skill_training,Health_insurance,Job_training,Company_Code
26.4,0,5,5,3,5,3,5,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1
5,0,4,3,4,4,4,4,4,3,0,0,0,0,0,-0.404756395,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22.8,1,3,4,4,4,1,4,3,5,0,0,0,0,0,0,0,0,0,-0.6636,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
30,1,5,5,5,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,5,4,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,5,5,5,5,5,5,5,5,0,0,0.620500282,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,5,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,4,4,4,4,5,5,4,5,0,0,0.620500282,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,5,5,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,1,2,1,1,1,2,0,0,0,0,0,0,-0.7663,0,0,-0.7663,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12,0,5,5,5,5,2,5,3,5,0,0,0.620500282,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,4,5,5,3,4,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1
5,0,4,3,4,2,3,3,4,4,0,0,0,0,0,0,0,0,0,-0.53932614,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1
21.6,1,5,5,5,5,5,5,5,5,0,0.8458,0.620500282,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19.2,1,1,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20.4,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
11,1,5,5,5,5,5,5,5,5,0,0,0.620500282,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
18,0,2,1,5,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,4,4,4,2,1,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
2,0,3,3,4,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37.2,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
18,1,5,5,5,4,3,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
18,1,4,5,4,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
24,1,3,2,5,3,3,1,2,2,0,0,0.620500282,0,0,0,-0.5242,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1
4,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1
26.4,1,4,5,4,5,5,5,3,4,0,0,0.620500282,0,0,0,-0.549966165,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
13.2,0,4,4,4,4,4,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,4,3,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
31.2,1,4,4,4,2,4,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61.2,0,5,5,5,5,4,4,5,5,0.946,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
24,0,5,5,4,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1
8,1,4,3,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
6,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
